[2026-04-13T20:02:33.342Z] GET https://skills-juridicas-lp.pages.dev/ → 200 (115ms, 116107B)
[2026-04-13T20:02:33.461Z] GET https://www.googletagmanager.com/gtag/js?id=G-3SRBTGJ632 → 200 (313ms, 471197B)
[2026-04-13T20:02:33.461Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700;800;900&family=JetBrains+Mono:wght@400;500;600;700&display=swap → 200 (144ms, 24770B)
[2026-04-13T20:02:33.465Z] GET https://connect.facebook.net/en_US/fbevents.js → 200 (259ms, 374117B)
[2026-04-13T20:02:33.706Z] GET https://fonts.gstatic.com/s/jetbrainsmono/v24/tDbv2o-flEEny0FZhsfKu5WU4zr3E_BX0PnT8RD8yKwBNntkaToggR7BYRbKPxDcwg.woff2 → 200 (140ms, 31432B)
[2026-04-13T20:02:33.706Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7.woff2 → 200 (133ms, 48256B)
[2026-04-13T20:02:33.751Z] GET https://connect.facebook.net/signals/config/1579955786637795?v=2.9.298&r=stable&domain=skills-juridicas-lp.pages.dev&hme=c048e760b3fdc0fbdc117d7607b2c36e13eff2660c515ac72e86dac5ba060bb9&ex_m=104%2C205%2C154%2C22%2C72%2C73%2C145%2C68%2C67%2C11%2C162%2C90%2C16%2C138%2C127%2C39%2C75%2C78%2C134%2C159%2C164%2C8%2C4%2C5%2C7%2C6%2C3%2C91%2C101%2C165%2C170%2C219%2C62%2C186%2C187%2C55%2C277%2C30%2C74%2C231%2C230%2C229%2C23%2C33%2C103%2C61%2C10%2C63%2C97%2C98%2C99%2C105%2C130%2C31%2C29%2C132%2C133%2C129%2C128%2C155%2C76%2C158%2C156%2C157%2C50%2C60%2C123%2C15%2C161%2C45%2C264%2C265%2C263%2C26%2C27%2C28%2C48%2C146%2C77%2C112%2C18%2C20%2C44%2C40%2C42%2C41%2C83%2C92%2C96%2C110%2C144%2C147%2C46%2C111%2C24%2C21%2C119%2C69%2C36%2C149%2C148%2C150%2C141%2C139%2C25%2C35%2C59%2C109%2C160%2C70%2C17%2C152%2C114%2C81%2C66%2C19%2C85%2C86%2C116%2C84%2C136%2C135%2C34%2C279%2C294%2C212%2C201%2C202%2C200%2C297%2C289%2C52%2C213%2C107%2C131%2C80%2C121%2C54%2C47%2C49%2C113%2C120%2C126%2C58%2C64%2C151%2C115%2C37%2C32%2C53%2C56%2C100%2C163%2C1%2C124%2C14%2C122%2C12%2C2%2C57%2C93%2C65%2C118%2C89%2C88%2C166%2C167%2C94%2C95%2C9%2C125%2C102%2C51%2C142%2C87%2C79%2C71%2C117%2C106%2C43%2C143%2C0%2C82%2C137%2C140%2C153%2C38%2C108%2C13%2C168 → pending (?ms, ?B)
[2026-04-13T20:02:33.811Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-3SRBTGJ632&gtm=45je6490v9248690497za200zd9248690497&_p=1776110553460&gcd=13l3l3l3l1l1&npa=0&dma=0&are=1&cid=380884155.1776110554&frm=0&pscdl=noapi&rcb=0&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=Linux&uapv=&uaw=0&ul=en-us&_s=1&tag_exp=0~115938466~115938468~117266400~118131808&sid=1776110553&sct=1&seg=0&dl=https%3A%2F%2Fskills-juridicas-lp.pages.dev%2F&dt=Skills%20Jur%C3%ADdicas%20com%20IA%20%7C%2073%20Skills%20%C2%B7%2010%20%C3%81reas%20do%20Direito%20para%20Advogados&en=page_view&_fv=1&_nsi=1&_ss=1&_ee=1&tfd=467 → pending (?ms, ?B)
[2026-04-13T20:02:33.945Z] GET https://www.facebook.com/tr/?id=1579955786637795&ev=PageView&dl=https%3A%2F%2Fskills-juridicas-lp.pages.dev%2F&rl=&if=false&ts=1776110553943&sw=1280&sh=720&v=2.9.298&r=stable&ec=0&o=156&it=1776110553748&coo=false&expv2[0]=pl1&expv2[1]=el2&expv2[2]=bc1&expv2[3]=ra0&expv2[4]=rp0&expv2[5]=im1&expv2[6]=hf0&rqm=GET → 200 (74ms, ?B)
[2026-04-13T20:02:41.753Z] GET https://skills-juridicas-lp.pages.dev/ → 200 (36ms, 116107B)
[2026-04-13T20:02:41.794Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-3SRBTGJ632&gtm=45je6490v9248690497za200zd9248690497&_p=1776110553460&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&are=1&cid=380884155.1776110554&frm=0&pscdl=noapi&rcb=0&sr=1280x720&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=Linux&uapv=&uaw=0&ul=en-us&_s=2&tag_exp=0~115938466~115938468~117266400~118131808&sid=1776110553&sct=1&seg=0&dl=https%3A%2F%2Fskills-juridicas-lp.pages.dev%2F&dt=Skills%20Jur%C3%ADdicas%20com%20IA%20%7C%2073%20Skills%20%C2%B7%2010%20%C3%81reas%20do%20Direito%20para%20Advogados&en=user_engagement&_et=7982&tfd=8451 → pending (?ms, ?B)
